STATE;SOC_CODE;SOC_NAME
"WA";"15-1132.00";"SOFTWARE DEVELOPERS, APPLICATIONS"
"CA";"13-2011.00";"ACCOUNTANTS AND AUDITORS"
"TX";"15-1141.00";"DATABASE ADMINISTRATORS"
"DE";"15-1132.00";"SOFTWARE DEVELOPERS, APPLICATIONS"
"AL";"15-1132.00";"SOFTWARE DEVELOPERS, APPLICATIONS"
"FL";"15-1132.00";"SOFTWARE DEVELOPERS, APPLICATIONS"
"FL";"15-1132.00";"SOFTWARE DEVELOPERS, APPLICATIONS"
"MD";"15-1121.00";"COMPUTER SYSTEMS ANALYST"
"NJ";"15-1199.00";"COMPUTER OCCUPATIONS, ALL OTHER"
"GA";"15-1132.00";"SOFTWARE DEVELOPERS, APPLICATIONS"
